date,product,category,quantity,revenue
2024-01-15,Laptop,Electronics,2,2400.00
2024-01-16,T-Shirt,Clothing,5,125.00
2024-01-17,Coffee Maker,Appliances,1,89.99
2024-01-18,Smartphone,Electronics,3,2700.00
2024-01-19,Jeans,Clothing,4,180.00
2024-01-20,Tablet,Electronics,2,1200.00
2024-01-21,Sneakers,Footwear,3,240.00
2024-01-22,Blender,Appliances,2,150.00
2024-01-23,Headphones,Electronics,4,400.00
2024-01-24,Dress,Clothing,2,120.00
2024-02-15,Monitor,Electronics,3,900.00
2024-02-16,Jacket,Clothing,2,200.00
2024-02-17,Toaster,Appliances,1,45.00
2024-02-18,Smart Watch,Electronics,2,600.00
2024-02-19,Pants,Clothing,3,150.00
2024-02-20,Gaming Console,Electronics,1,499.00
2024-02-21,Boots,Footwear,2,180.00
2024-02-22,Microwave,Appliances,1,120.00
2024-02-23,Keyboard,Electronics,3,210.00
2024-02-24,Shirt,Clothing,4,160.00
2024-03-15,Camera,Electronics,1,800.00
2024-03-16,Hoodie,Clothing,3,135.00
2024-03-17,Air Fryer,Appliances,2,200.00
2024-03-18,Earbuds,Electronics,5,250.00
2024-03-19,Skirt,Clothing,2,80.00
2024-03-20,Gaming Laptop,Electronics,1,1500.00
2024-03-21,Sandals,Footwear,4,160.00
2024-03-22,Vacuum,Appliances,1,250.00
2024-03-23,Mouse,Electronics,6,120.00
2024-03-24,Sweater,Clothing,2,100.00
